date,year,week,cases_per_sentinel,fear_index_avg,fear_index_weighted,weekly_deaths,fear_index,dining_index
2024-04-08,2024,15,3.87,0.8,1.0666666666666669,0.0,1.0666666666666669,26.894736842105264
2024-04-15,2024,16,2.43,1.0,1.2,0.0,1.2,25.36842105263158
2024-04-22,2024,17,1.47,0.4,0.5333333333333333,0.0,0.5333333333333333,27.263157894736842
2024-04-29,2024,18,0.67,1.0,1.2666666666666666,0.0,1.2666666666666666,25.105263157894736
2024-05-06,2024,19,0.35,0.8,1.0666666666666669,0.0,1.0666666666666669,23.736842105263158
2024-05-13,2024,20,0.29,0.8,1.0666666666666669,0.0,1.0666666666666669,25.0
2024-05-20,2024,21,0.12,1.2,1.4666666666666666,0.0,1.4666666666666666,24.36842105263158
2024-05-27,2024,22,0.15,0.8,1.0666666666666669,0.0,1.0666666666666669,23.789473684210527
2024-06-03,2024,23,0.09,1.0,1.2666666666666666,0.0,1.2666666666666666,23.789473684210527
2024-06-10,2024,24,0.13,1.6,2.0,0.0,2.0,24.42105263157895
2024-06-17,2024,25,0.19,1.2,1.6,0.0,1.6,23.789473684210527
2024-06-24,2024,26,0.06,1.0,1.3333333333333333,0.0,1.3333333333333333,25.05263157894737
2024-07-01,2024,27,0.05,1.6,2.0,0.0,2.0,25.68421052631579
2024-07-08,2024,28,0.07,2.2,2.8,0.0,2.8,25.68421052631579
2024-07-15,2024,29,0.06,2.4,3.066666666666667,0.0,3.066666666666667,23.473684210526315
2024-07-22,2024,30,0.07,2.0,2.533333333333333,0.0,2.533333333333333,23.789473684210527
2024-07-29,2024,31,0.25,1.6,2.066666666666667,0.0,2.066666666666667,26.31578947368421
2024-08-05,2024,32,0.36,1.2,1.4666666666666666,0.0,1.4666666666666666,27.263157894736842
2024-08-12,2024,33,0.19,1.8,2.2666666666666666,0.0,2.2666666666666666,24.736842105263158
2024-08-19,2024,34,0.14,0.8,1.0666666666666669,0.0,1.0666666666666669,24.42105263157895
2024-08-26,2024,35,0.2,0.8,1.0666666666666669,0.0,1.0666666666666669,24.68421052631579
2024-09-02,2024,36,0.13,1.0,1.3333333333333333,0.0,1.3333333333333333,26.0
2024-09-09,2024,37,0.09,0.6,0.8,0.0,0.8,26.63157894736842
2024-09-16,2024,38,0.05,1.0,1.2,0.0,1.2,24.894736842105264
2024-09-23,2024,39,0.11,0.8,1.0666666666666669,0.0,1.0666666666666669,25.842105263157894
2024-09-30,2024,40,0.27,0.8,1.0666666666666669,0.0,1.0666666666666669,26.36842105263158
2024-10-07,2024,41,0.3,0.4,0.5333333333333333,0.0,0.5333333333333333,26.63157894736842
2024-10-14,2024,42,0.35,0.8,1.0666666666666669,0.0,1.0666666666666669,26.31578947368421
2024-10-21,2024,43,0.5,0.8,0.9333333333333332,0.0,0.9333333333333332,25.842105263157894
2024-10-28,2024,44,0.7,0.4,0.5333333333333333,0.0,0.5333333333333333,29.894736842105264
2024-11-04,2024,45,0.67,0.6,0.8,0.0,0.8,28.789473684210527
2024-11-11,2024,46,1.28,0.8,0.9333333333333332,0.0,0.9333333333333332,31.31578947368421
2024-11-18,2024,47,2.12,1.0,1.2,0.0,1.2,29.94736842105263
